"","Year","sets","BUM","lat","lon","hbf","season"
"500",2015,8,0,-28,1.5,10,3
"501",2015,17,0,-20.5,4.5,10,3
"502",2016,20,0,-19.5,0.5,10,4
"503",2016,16,5,-12.5,-12.5,10,1
"504",2017,20,0,-7.5,2.5,10,4
"505",2017,11,0,-11.5,-11.5,10,1
"506",2017,20,0,-40.5,-3.5,10,2
"507",2017,23,3,-33.5,2.5,10,2
"508",2017,20,0,-44.5,-9.5,10,2
"509",2017,20,0,-43.5,-8.5,10,2
"510",2017,3,0,-37.5,3.5,10,2
"511",2017,20,0,-16.5,6.5,10,3
"512",2017,20,1,-20.5,1.5,10,3
"513",2018,7,2,-7.5,-28.5,10,4
"514",2018,20,1,-10.5,-2.5,10,1
"515",2018,20,4,-17.5,2.5,10,2
"516",2018,20,3,-23.5,6.5,10,2
"517",2018,20,1,-22.5,7.5,10,2
"518",2018,20,2,-20.5,7.5,10,2
"519",2018,20,0,-40.5,-3,10,2
"520",1990,20,29,-8.5,-14,24,1
"521",1990,20,53,-9.5,-24.5,24,1
"522",1990,1,1,-8.5,-12.5,24,4
"523",1990,36,11,-7.5,2.5,24,4
"524",1990,20,9,-4.5,-6.5,24,4
"525",1990,26,38,-7.5,-22.5,24,4
"526",1990,20,12,-5.5,-13.5,24,1
"527",1990,20,10,-7.5,-11.5,24,1
"528",1990,20,10,-6.5,-12.5,24,1
"529",1990,20,21,-7.5,-17.5,24,1
"530",1990,20,17,-6.5,-17,24,1
"531",1990,20,31,-5.5,-17.5,24,2
"532",1990,11,7,-5.5,-11.5,24,2
"533",1990,20,45,-9.5,-19.5,24,2
"534",1990,20,19,-7.5,-21.5,24,3
"535",1990,4,4,-6,0,24,3
"536",1990,10,2,-7.5,8.5,24,3
"537",1990,20,27,-1,-22.5,24,3
"538",1990,20,24,-2.5,-26.5,24,3
"539",1990,20,10,-1.5,1.5,24,3
"540",1991,20,17,-8.5,-12.5,24,1
"541",1991,20,26,-7.5,-15.5,24,1
